accident_index,longitude,latitude,cluster
2020160949708,-0.09611,53.575202,5
2020160949906,-0.212821,54.09289,2
2020160949910,-0.07407,53.565285,5
2020160950118,-0.357554,53.736935,3
2020160950127,-0.395371,53.749933,3
2020160950169,-0.396412,53.841678,3
2020160950228,-0.219488,53.85105,3
2020160950261,-0.167672,53.743127,5
2020160950318,-0.11534,53.547279,5
2020160950445,-0.574143,53.729918,4
2020160950461,-0.600267,53.562034,4
2020160950534,-0.073298,53.572644,5
2020160950863,-0.396874,53.753872,3
2020160951001,-0.328974,53.7786,3
2020160951040,-0.829218,53.832328,1
2020160951048,-0.303066,53.776753,3
2020160951242,-0.906115,53.700491,1
2020160951268,-0.468854,53.750237,3
2020160951270,-0.357968,53.799036,3
2020160951287,-0.909207,53.829289,1
2020160951312,-0.650118,53.604379,4
2020160951316,-0.418018,53.584915,3
2020160951404,-0.289593,53.614485,3
2020160951438,-0.309923,53.756031,3
2020160951443,-0.500969,53.977745,2
2020160951493,-0.273269,53.636626,3
2020160951559,-0.646668,53.563341,4
2020160951595,-0.311777,53.768057,3
2020160951614,-0.215642,53.850669,3
2020160951621,-0.364021,53.773798,3
2020160951627,-0.398868,53.744514,3
2020160951639,-0.271579,53.625796,3
2020160951767,-0.643258,53.594908,4
2020160951824,-0.607825,53.564522,4
2020160951846,-0.260622,53.779255,3
2020160951879,-0.28819,53.766384,3
2020160952042,-0.612674,53.793975,4
2020160952295,-0.545427,53.547554,4
2020160952346,-0.833471,53.764461,1
2020160952352,-0.328268,53.800963,3
2020160952366,-0.375098,53.740796,3
2020160952367,-0.351116,53.751894,3
2020160952387,-0.096632,53.575345,5
2020160952437,-0.353733,53.768362,3
2020160952440,-0.049179,53.547001,5
2020160952461,-0.419228,53.852929,3
2020160952472,-0.653005,53.593912,4
2020160952514,-0.21146,53.615627,5
2020160952537,-0.136798,53.763336,5
2020160952563,-0.818453,53.569044,4
2020160952582,-0.884859,53.743081,1
2020160952609,-0.312097,53.75741,3
2020160952832,-0.174951,53.577015,5
2020160952860,-0.520139,53.724993,3
2020160952975,-0.678366,53.57041,4
2020160952979,-0.331174,53.740732,3
2020160953074,-0.331475,53.767192,3
2020160953089,-0.405261,53.759117,3
2020160953114,-0.582186,53.551861,4
2020160953307,-0.421897,53.781486,3
2020160953316,-0.509513,53.660707,4
2020160953345,-0.437979,53.581509,3
2020160953421,-0.16879,53.551813,5
2020160953539,-0.658499,53.584545,4
2020160953551,-0.202846,53.618761,5
2020160953563,-0.409148,53.833677,3
2020160953599,-0.440471,53.683244,3
2020160953714,-0.078565,53.561384,5
2020160953734,-0.688039,53.589681,4
2020160953743,-0.719918,53.590161,4
2020160953751,-0.358661,53.743143,3
2020160953762,-0.30862,53.772615,3
2020160953798,-0.101678,53.516633,5
2020160953846,-0.236704,54.062636,2
2020160953880,-0.450472,53.771719,3
2020160954013,-0.220693,53.606029,5
2020160954049,-0.346085,53.748679,3
2020160954204,-0.455626,53.804118,3
2020160954209,-0.717452,54.001021,1
2020160954212,-0.091841,53.549235,5
2020160954259,-0.092609,53.538541,5
2020160954473,-0.308526,53.782493,3
2020160954488,-0.3467,53.747321,3
2020160954639,-0.878461,53.722536,1
2020160954641,-0.120153,53.550402,5
2020160954644,-0.128291,53.810658,5
2020160954648,-0.33705,53.582082,3
2020160954671,-0.503091,53.558232,4
2020160954740,-0.312954,53.748154,3
2020160954745,-0.192136,54.082936,2
2020160954753,-0.0264,53.534096,5
2020160954809,-0.477558,53.843418,3
2020160954833,-0.271239,53.772019,3
2020160954893,-0.570887,53.551655,4
2020160955018,-0.444252,53.687077,3
2020160955028,-0.423887,53.524997,4
2020160955053,-0.635205,53.585018,4
2020160955138,-0.42539,53.849172,3
2020160955140,-0.040371,53.526298,5
2020160955153,-0.430809,53.583015,3
2020160955154,-0.159298,53.744248,5
2020160955156,-0.061158,53.572924,5
2020160955423,-0.372934,53.743832,3
2020160955658,-0.053053,53.570491,5
2020160955808,-0.644641,53.579516,4
2020160955816,-0.526706,53.852742,3
2020160955819,-0.483478,53.564601,4
2020160955830,-0.376038,53.750625,3
2020160955951,-0.072786,53.56397,5
2020160956261,-0.35748,53.737266,3
2020160956454,-0.327721,53.767742,3
2020160956459,-0.036451,53.560475,5
2020160956462,-0.373222,53.750884,3
2020160956463,-0.069081,53.568072,5
2020160956464,-0.554149,53.732114,4
2020160956466,-0.437481,53.682216,3
2020160956513,-0.359592,53.783472,3
2020160956543,-0.450066,53.520701,4
2020160956570,-0.273384,53.757101,3
2020160956605,-0.654988,53.579031,4
2020160956664,-0.357108,53.737081,3
2020160956828,-0.145584,53.546367,5
2020160956942,-0.075139,53.566012,5
2020160956948,-0.449233,53.694521,3
2020160957046,-0.357019,53.737026,3
2020160957079,-0.330326,53.777801,3
2020160957094,-0.357221,53.7789,3
2020160957114,-0.669406,53.519541,4
2020160957117,-0.20993,54.094312,2
2020160957126,-0.288228,53.892967,3
2020160957313,-0.269374,53.761646,3
2020160957339,-0.625311,53.788701,4
2020160957372,-0.09817,53.575064,5
2020160957390,-0.910185,53.705948,1
2020160957451,-0.435923,53.71976,3
2020160957466,-0.488328,53.556878,4
2020160957490,-0.301335,53.773025,3
2020160957590,-0.013354,53.536541,5
2020160957591,-0.837892,53.932838,1
2020160957598,-0.583725,53.742059,4
2020160957600,-0.915598,53.771776,1
2020160957601,-0.928731,53.699868,1
2020160957604,-0.40812,53.857205,3
2020160957605,-0.11172,53.548921,5
2020160957661,-0.091661,53.548531,5
2020160957770,-0.29521,53.911755,2
2020160957778,-0.716741,54.003323,1
2020160957788,-0.478518,53.845462,3
2020160957934,-0.67314,53.586398,4
2020160958425,-0.083752,53.560873,5
2020160958504,-0.096312,53.575394,5
2020160958506,-0.520259,53.725021,3
2020160958512,-0.360833,53.751614,3
2020160958530,-0.865072,53.941565,1
2020160958532,-0.490103,53.833123,3
2020160958829,-0.388211,53.753145,3
2020160958830,-0.47153,53.721649,3
2020160958835,-0.449425,53.791903,3
2020160958836,-0.842051,53.466271,4
2020160958840,-0.078366,53.559789,5
2020160958846,-0.381602,53.770009,3
2020160958848,-0.920628,53.916947,1
2020160958850,-0.273061,53.896517,2
2020160958851,0.025,53.73066,5
2020160958857,-0.023,53.55655,5
2020160958866,-0.348674,53.75613,3
